thanh_ngu_tieng_trung,phien_am,am_han_viet,ket_cau_hinh_thuc,ket_cau_ngu_phap,sac_thai_bieu_cam,chu_de,cach_dung,nghia,vi_du_tieng_trung,vi_du_tieng_viet,tu_can_nghia,tu_trai_nghia,nguon_goc_thanh_ngu,cau_chuyen_thanh_ngu
刀枪剑戟,dāo qiāng jiàn jǐ,đao thương kiếm kích,,Liên hợp,Tích cực,"Thành ngữ về súng ống
Thành ngữ về đao 
Thành ngữ về kiếm","Làm tân ngữ, định ngữ; chỉ vũ khí.","Kích: một loại binh khí cổ đại, kết hợp giữa qua và mâu, vừa có thể đâm thẳng, vừa có thể đánh ngang. Là một trong bốn loại binh khí phổ biến thời xưa dùng để chém và đâm. Cũng được dùng để chỉ chung các loại vũ khí.",霍达《穆斯林的葬礼》第13章：“雷霆在他头脑中轰鸣，刀枪剑戟在他五脏六腑乱搅一锅粥。”,"Hoắc Đạt – Tang lễ của người Hồi giáo, chương 13:
“Sấm sét gầm vang trong đầu anh, đao thương kiếm kích như đang khuấy đảo lục phủ ngũ tạng thành một nồi cháo hỗn loạn.”",枪刀剑戟,,"Minh · La Quán Trung · 《Tam Quốc Diễn Nghĩa》 – Hồi 87:
“Trong trướng bày ra bảy lớp đao phủ, đao thương kiếm kích sáng loáng như sương tuyết.”",
刀笔之吏,dāo bǐ zhī lì,đao bút chi lại,,Chính phụ,Tích cực,,"Làm tân ngữ; chỉ văn thư, giấy tờ.","Đao bút: Thời xưa dùng dao để sửa chữ trên thẻ tre, về sau dùng để chỉ các tiểu lại chuyên lo văn thư, giấy tờ.",唐·赵蕤《反经·是非》：“且秦以任刀笔之吏，争以亟疾苛察相高。”,"Đường · Triệu Nhuỵ – Phản Kinh · Thị Phi:
“Hơn nữa, nước Tần dùng bọn lại mục chuyên cầm bút đao, ganh đua nhau bằng cách tàn nhẫn, xét nét gay gắt để giành lấy địa vị cao.”",刀笔吏、刀笔老手,,"Tây Hán · Tư Mã Thiên · 《Sử Ký · Lý Tướng Quân Liệt Truyện》:
“Hơn nữa, Lý Quảng đã ngoài sáu mươi tuổi, rốt cuộc không thể tiếp tục đối mặt với bọn lại dịch chuyên về đao bút nữa.”",
刀笔吏,dāo bǐ lì,đao bút lại,,Chính phụ,Tiêu cực,,"Làm chủ ngữ, tân ngữ, định ngữ; chỉ ""văn phỉ"" — tức kẻ lưu manh dùng văn từ để công kích, bới móc, gây rối bằng ngôn luận.","Đao bút: Thời xưa dùng dao để gọt sửa chữ trên thẻ tre. Về sau dùng để chỉ các tiểu lại chuyên lo việc văn thư, sổ sách.",明·施耐庵《水浒传》第18回：“起自花村刀笔吏，英灵上应天星，疏财仗义更多能。”,"Minh · Thi Nại Am – Thủy Hử truyện, hồi 18:
“Xuất thân là tiểu lại văn thư ở thôn Hoa, anh linh ứng với sao trời, hào phóng trọng nghĩa, tài năng xuất chúng.”",刀笔老手、刀笔之吏,,"Tây Hán · Tư Mã Thiên · 《Sử Ký · Tiêu Tướng Quốc Thế Gia》:
“Tiêu Tướng Quốc từng làm lại dịch chép văn thư thời nhà Tần, chỉ là một kẻ cẩn thận, chưa từng có hành động gì đặc biệt.”",
刀笔老手,dāo bǐ lǎo shǒu,đao bút lão thủ,,Chính phụ,Tích cực,,"Làm chủ ngữ, tân ngữ, định ngữ; chỉ văn phỉ – kẻ lưu manh trong giới viết lách, dùng ngôn từ để công kích, bịa đặt, hoặc lạm dụng văn chương nhằm mục đích xấu.","Đao bút: Thời xưa dùng dao để gọt sửa chữ trên thẻ tre. Về sau dùng để chỉ tiểu lại chuyên lo việc văn thư, giấy tờ.",他是小镇有名的刀笔老手,Anh ta là tay đao bút lão luyện nổi tiếng trong thị trấn nhỏ.,刀笔之吏,,"《Động Dao》:
“Lão huynh là tay lão luyện trong nghề bút mực, vì thế không thể không nhờ huynh giúp đỡ rồi.”",
刀耕火种,dāo gēng huǒ zhòng,đao canh hỏa chúng ,,Liên hợp,Tích cực,,"Làm vị ngữ, tân ngữ, định ngữ; chỉ hình thức canh tác nông nghiệp nguyên thủy.","Phương pháp canh tác cổ xưa, đốt cỏ trên mặt đất thành tro làm phân bón, sau đó đào hố tại chỗ để gieo hạt.",随着农业机械化的普及，刀耕火种的那种原始的农业耕作技术已逐渐消失了。,"Cùng với sự phổ biến của cơ giới hóa nông nghiệp, kỹ thuật canh tác nông nghiệp nguyên thủy như đao canh hỏa chủng đã dần dần biến mất.",火耨刀耕、刀耕火耨,,"《Cựu Đường Thư · Nghiêm Chấn Truyện》:
“Thời Lương Hán, cày bằng dao, làm cỏ bằng lửa.”",
刀耕火耘,dāo gēng huǒ yún,đao canh hỏa vân,,Liên hợp,Tích cực,,"Làm định ngữ, tân ngữ; chỉ nền nông nghiệp nguyên thủy.",Cũng như đao canh hỏa chủng.,,,刀耕火耨、刀耕火种,,"Tống · Tô Thức · 《Vương Công Nghi làm Chuyển vận sứ lộ Quỳ Châu, Trình Cao làm Phán quan lộ Quỳ Châu – Chiếu lệnh》:
“Dân vùng Tam Hiệp cày bằng dao, làm cỏ bằng lửa, sống lẫn lộn với hươu và lợn rừng.”",
刀耕火耨,dāo gēng huǒ nòu,đao canh hỏa nậu,,Liên hợp,Tích cực,,"Làm định ngữ, tân ngữ; chỉ nền nông nghiệp nguyên thủy.","耨: nghĩa là làm cỏ. Người xưa trước khi gieo trồng thường chặt cây, đốt cỏ dại để lấy tro bón ruộng. Về sau dùng để chỉ chung kỹ thuật canh tác nguyên thủy.",,,火耨刀耕、刀耕火种、刀耕火耘,,"《Cựu Đường Thư · Nghiêm Chấn Truyện》:
“Giữa vùng Lương và Hán, người dân cày bằng dao, làm cỏ bằng lửa.”",
刀过竹解,dāo guò zhú jiě,đao quá trúc giải,,Liên động,Tích cực,,"Làm tân ngữ, định ngữ, trạng ngữ; dùng trong việc xử lý công việc.","Dao vừa chém xuống, tre lập tức tách ra. Ẩn dụ việc được giải quyết suôn sẻ, dễ dàng.",后来，果然办得水到渠成，刀过竹解。（清 李绿园《歧路灯》第五回）,"Về sau, quả nhiên mọi việc được thu xếp đâu vào đấy, trôi chảy như nước chảy thành dòng, dao chém đến đâu tre tách đến đó.
(Thanh · Lý Lục Viên – Khúc Lộ Đăng, hồi 5)",迎刃而解,,"Thanh · Lý Lục Viên · 《Kỳ Lộ Đăng》 – Hồi 5:
“Về sau, quả nhiên mọi việc trôi chảy như nước chảy thành dòng, nhanh gọn như dao cắt trúc.”",
刀锯斧钺,"dāo jù fǔ yuè",đao cứ phủ việt,,Liên hợp,Tiêu cực,Thành ngữ về hình pháp,"Làm tân ngữ, định ngữ; chỉ hình phạt tàn khốc.",Bốn loại hình cụ thời cổ đại. Dùng để chỉ hình phạt tàn khốc.,翁无烦怒！有新妇在，刀锯斧钺，妇自受之，必不令贻害双亲。（清 蒲松龄《聊斋志异 小翠》）,"Xin cha chớ giận! Đã có con dâu ở đây, dao cưa rìu búa, con xin tự chịu, quyết không để liên lụy đến song thân.
(Thanh · Bồ Tùng Linh – Liêu Trai Chí Dị · Tiểu Thúy)",刀锯鼎镬,,"《Hán Thư · Hình Pháp Chí》:
“Hình phạt nặng thì dùng giáp binh, kế đó dùng rìu búa; hình phạt trung bình thì dùng dao cưa, rồi đến khoan đục.”",
刀锯鼎镬,dāo jù dǐng huò,đao cứ đỉnh hoạch,,Liên hợp,Tích cực,Thành ngữ về hình pháp,"Làm tân ngữ, định ngữ; chỉ hình cụ.","Đao, cưa: dụng cụ hình phạt thời cổ, cũng chỉ hình phạt chặt (cắt) và chặt chân;
Đỉnh, vạc: dụng cụ nấu nướng thời xưa, cũng chỉ hình phạt luộc sống.
→ Chỉ các hình cụ cổ đại, cũng được dùng để chỉ chung các loại hình phạt tàn khốc.",如果臣言虚谬，刀锯鼎镬，即加臣身。（清 蒲松龄《聊斋志异 续黄梁》）,"Nếu thần nói sai sự thật, dao cưa vạc dầu, xin giáng hết lên thân thần.
(Thanh · Bồ Tùng Linh – Liêu Trai Chí Dị · Tục Hoàng Lương)",刀锯斧钺,,"《Hán Thư · Hình Pháp Chí》:
“Hình phạt nặng thì dùng giáp binh, kế đến là rìu lớn và rìu nhỏ; hình phạt trung bình thì dùng dao và cưa, tiếp theo là khoan và đục.”

《Hán Thư · Lệ, Lục, Chu, Lưu, Thúc Tôn Truyện Tán》:
“Lệ Sinh ẩn mình sau cánh cửa để chờ chủ nhân rồi mới ra, vậy mà vẫn không thoát khỏi vạc dầu và lò nấu.”",
到什么山上唱什么歌,dào shén me shān shàng chàng shén me gē,đáo thập ma sơn thượng xướng thập ma ca,,Câu phức,Tích cực,,"Làm vị ngữ, tân ngữ, định ngữ; dùng trong việc xử lý công việc.",Ẩn dụ cho việc thay đổi linh hoạt theo tình hình thực tế.,李英儒《野火春风斗古城》第11章：“到什么山上唱什么歌，到一时说一时。”,"Lý Anh Như – Lửa xuân nơi thành cổ, chương 11:
“Lên núi nào thì hát bài ấy, đến lúc nào thì nói chuyện lúc ấy.”",,,"Mao Trạch Đông · 《Phản đối Đảng Bát Cổ》:
“Tục ngữ có câu: ‘Lên núi nào thì hát bài hát ấy.’ … Chúng ta làm việc gì cũng phải tùy theo tình hình mà xử lý, viết văn hay diễn thuyết cũng vậy.”
",
到处碰壁,dào chù pèng bì,đáo xứ bính bích,,Chính phụ,Tích cực,,"Làm vị ngữ, định ngữ, trạng ngữ; dùng để chỉ hoàn cảnh của con người.",Ẩn dụ cho việc gặp trở ngại hoặc bị từ chối. Cũng chỉ tình huống không thể tiến hành hoặc không đạt được mục đích.,我这几天到处碰壁，真是流年不利,"Mấy ngày nay tôi đi đâu cũng gặp trở ngại, đúng là vận đen đủ đường.",四处碰壁、六面碰壁,,"Hạo Nhiên · 《Nắng Tươi》 – Chương 30:
“Tiếc thay hắn lại gặp đúng thời kỳ giải phóng, đi đâu cũng va vấp, đến mức đầu rơi máu chảy.”",
到此为止,dào cǐ wéi zhǐ,đáo thử vi chỉ,,Phức tạp,Tích cực,,"Làm vị ngữ, phân câu; chỉ việc kết thúc tại đây.",Lấy nơi đây làm ranh giới.,霍达《穆斯林的葬礼》第七章：“担心自己承受不了这种强烈的刺激，想到此为止、打道回府了。”,"Hoắc Đạt – Tang lễ của người Hồi giáo, chương 7:
“Lo rằng bản thân không chịu nổi cú sốc mạnh như vậy, nên đã dừng lại tại đây và quay về.”",到此止步,,"Trần Trung Thực · 《Bạch Lộc Nguyên》 – Chương 16:
Triệu Hải thở dài đau đớn: “Xong rồi. Đến đây là hết.”",
导以取保,dao yi qu bao,đạo dĩ thủ bảo,,,,,,Khuyên dụ phạm nhân tìm người bảo lãnh và nộp tiền bảo lãnh.,,,,,,
导德齐礼,dǎo dé qí lǐ,đạo đức tề lễ,,Liên hợp,Tích cực,Thành ngữ về sự khen ngợi,"Làm tân ngữ, định ngữ; mang ý nghĩa khen ngợi.","Làm tân ngữ, định ngữ; mang ý nghĩa khen ngợi.",所谓陷人以罪，恐非导德齐礼之义。★《旧唐书·裴矩传》,"Cái gọi là gán tội cho người, e rằng không phù hợp với ý nghĩa dẫn dắt bằng đức, chỉnh tề bằng lễ.
★ Cựu Đường Thư · Truyện Bùi Củ",,,"Tiên Tần · Khổng Tử · 《Luận Ngữ · Vi Chính》:
“Dùng đức để dẫn dắt, dùng lễ để điều chỉnh, [dân] sẽ biết xấu hổ và giữ mình trong khuôn phép.”",
导欲宣淫,dǎo yù xuān yín,đạo dục tuyên dâm,,Liên hợp,Tiêu cực,,,"Cổ xúy dục vọng, phô bày chuyện dâm loạn.",我们要坚决禁止～的作品出版。,Chúng ta phải kiên quyết cấm xuất bản những tác phẩm mang tính chất như vậy.,,,,
岛瘦郊寒,dǎo shòu jiāo hán,đảo sấu giao hàn,,Liên hợp,Tích cực,Thành ngữ về văn học,"Làm tân ngữ, định ngữ; chỉ phong cách thơ ca và văn học.","Đảo, Giao: chỉ hai nhà thơ thời Đường là Giả Đảo và Mạnh Giao.
Thơ của Giả Đảo và Mạnh Giao thường mang phong cách bi ai, thê lương, u uất, vì vậy “Đảo Giao” được dùng để chỉ thơ văn mang phong cách tương tự — u sầu, đau đáu, câu chữ khắc khổ mà tinh tế.",清·荻岸山人《平山冷燕》第一回：“人人争岛瘦郊寒，个个矜白仙贺鬼。”,"Thanh · Địch Ngạn Sơn Nhân – Bình Sơn Lãnh Yến, hồi 1:
“Ai nấy đều tranh nhau tỏ vẻ gầy guộc nơi hoang lạnh, người người tự khoe mình là tiên trắng, quỷ hạc.”",郊寒岛瘦,,"Tống · Chu Hy · 《Họa vận cảm ơn Lưu Trọng Hành tặng măng》:
“Thơ của quân cao vời đến mức xưa kia không ai dạy nổi, [phong cách] gầy guộc như đảo, lạnh lẽo như ngoại ô, sao có thể cho là khiếm khuyết được chứ?”",
悼心失图,dào xīn shī tú,điệu tâm thất đồ,,Liên hợp,Tích cực,Thành ngữ về nỗi đau lòng,"Làm vị ngữ, định ngữ; chỉ vì quá đau buồn mà đánh mất lý trí, không còn chủ kiến.","Đạo: bi thương; đồ: mưu tính. Chỉ việc vì quá đau buồn mà đánh mất chủ kiến, không thể toan tính gì được nữa.

",《新唐书·独孤及传》：“忍令宗庙有累危卵之危，万姓悼心失图，臣实惧焉。”,"Tân Đường Thư · Truyện Độc Cô Cập:
“Sao nỡ để tông miếu rơi vào cảnh nguy nan như trứng chồng, vạn dân đau thương đến mức mất cả chủ trương, thần thật sự lo sợ.”",,,"《Tả Truyện · Chiêu Công năm thứ bảy》:
“Ân huệ tốt lành chưa tới, chỉ có nỗi nhục của Tương Công giáng xuống tang lễ của ta, khiến ta cùng vài ba vị đại thần đau lòng đến mất phương hướng.”",
悼心疾首,dào xīn jí shǒu,điệu tâm tật thủ,,Liên hợp,Tích cực,Thành ngữ về nỗi đau lòng,Làm vị ngữ; chỉ nỗi đau buồn tột độ,"Trong lòng đau buồn, đầu như muốn vỡ. Miêu tả nỗi đau buồn đã đạt đến cực điểm.",,,痛心疾首,,"《Cựu Đường Thư · Điền Bố Truyện》:
“Huống chi lúc lâm chung chỉ còn trong khoảnh khắc, ông vẫn giữ vững khí tiết, ghi lại hình dung trong biểu chương, lại càng thể hiện lòng trung thành sâu sắc; khi sứ giả mở thư ra xem, đau lòng đến phát bệnh, đau đớn tột cùng.”",
捣枕捶床,dǎo zhěn chuí chuáng,đảo chẩm chuỷ sàng ,,Liên hợp,Tích cực,,"Làm vị ngữ, tân ngữ, trạng ngữ; chỉ tình trạng khó đi vào giấc ngủ.","Đảo: va đập; chùy: đấm, nện. Miêu tả tình trạng khó ngủ, trằn trọc trở mình không yên.",清·荻岸山人《平山冷燕》第八回：“真个是捣枕捶床，一夜不曾合眼。”,"Thanh · Địch Ngạn Sơn Nhân – Bình Sơn Lãnh Yến, hồi 8:
“Quả thật là đập gối nện giường, suốt một đêm không chợp mắt.”",捶床捣枕,,"Nguyên · Vương Thực Phủ · 《Tây Sương Ký》 – Quyển Một, Màn Hai:
“Trằn trọc không ngủ được như trở bàn tay, chỉ trong chốc lát mà đã thở dài cả vạn tiếng, đập gối dằn giường đến năm nghìn lượt.”",
捣虚批吭,dǎo xū pī háng, đảo hư phê khang,,Liên hợp,Tích cực,,"Làm vị ngữ, định ngữ; chỉ hành động tấn công.",Nhân lúc sơ hở mà tấn công vào chỗ yếu hại của kẻ địch. Tương tự như thành ngữ “phê kháng đảo hư” (批亢捣虚).,夫声东击西者，贼寇之奸态也；捣虚批吭者，兵家之长策也。★《旧唐书·裴矩传》,"“Kẻ reo hò phía Đông nhưng tấn công phía Tây” là mưu kế xảo trá của giặc cướp;
“Đánh vào chỗ trống, bổ vào yết hầu” là sách lược thượng thừa của nhà binh.
★ Cựu Đường Thư · Truyện Bùi Củ",批吭捣虚,,"Minh · Vô Danh Thị · 《Thập Dạng Cẩm》 – Màn Ba:
“Người này là Điền Nhiễu Dư lập binh thư, mưu trí hơn người; người kia hạ thành Tề, đánh vào chỗ sơ hở, ra tay chí mạng.”",
捣虚撇抗,dǎo xū piē kàng,đảo hư phiết kháng,,,,,,Chỉ hành động lợi dụng sơ hở để tấn công.,,,,,"Nguyên · Phạm Cư Trung · 《Kim Điện Hỷ Trùng Trùng · Phong Vũ Thu Đường Sáo》:
“Suốt ngày ngóng trông, nào ngờ chỉ là đòn đánh vào chỗ trống, vờ vĩnh lừa dối, làm ta uổng công bấy lâu; đến giờ mới hay những lời gièm pha kia toàn là dối trá.”",
